lat,lon,neighborhood,num_streets,num_pois_nearby,risk_score,poi_density,street_importance,degree_normalized,weight,category,color,weight_breakdown
43.638301,-79.38865,Harbourfront-CityPlace,4,25,0.153,0.5,0.15,0.5,29.12,Low,#00ff00,"{'crime_contribution': 6.12, 'poi_contribution': 10.0, 'street_contribution': 3.0, 'degree_contribution': 10.0}"
43.639848,-79.380357,Harbourfront-CityPlace,2,35,0.153,0.7,0.1,0.25,27.12,Low,#00ff00,"{'crime_contribution': 6.12, 'poi_contribution': 14.0, 'street_contribution': 2.0, 'degree_contribution': 5.0}"
43.638427,-79.388736,Harbourfront-CityPlace,4,22,0.153,0.44,0.4,0.5,32.92,Medium,#ffff00,"{'crime_contribution': 6.12, 'poi_contribution': 8.8, 'street_contribution': 8.0, 'degree_contribution': 10.0}"
43.638914,-79.386619,Harbourfront-CityPlace,4,38,0.153,0.76,0.5,0.5,41.32,Medium,#ffff00,"{'crime_contribution': 6.12, 'poi_contribution': 15.2, 'street_contribution': 10.0, 'degree_contribution': 10.0}"
43.638695,-79.387651,Harbourfront-CityPlace,2,33,0.153,0.66,0.6,0.25,36.32,Medium,#ffff00,"{'crime_contribution': 6.12, 'poi_contribution': 13.2, 'street_contribution': 12.0, 'degree_contribution': 5.0}"
43.638257,-79.389529,Harbourfront-CityPlace,2,29,0.153,0.58,0.6,0.25,34.72,Medium,#ffff00,"{'crime_contribution': 6.12, 'poi_contribution': 11.6, 'street_contribution': 12.0, 'degree_contribution': 5.0}"
43.640871,-79.387474,Harbourfront-CityPlace,4,8,0.153,0.16,0.1,0.5,21.32,Low,#00ff00,"{'crime_contribution': 6.12, 'poi_contribution': 3.2, 'street_contribution': 2.0, 'degree_contribution': 10.0}"
43.64217,-79.384357,Harbourfront-CityPlace,3,24,0.153,0.48,0.1,0.375,25.22,Low,#00ff00,"{'crime_contribution': 6.12, 'poi_contribution': 9.6, 'street_contribution': 2.0, 'degree_contribution': 7.5}"
43.642954,-79.399355,Wellington Place,4,21,0.339,0.42,0.1,0.5,33.95,Medium,#ffff00,"{'crime_contribution': 13.55, 'poi_contribution': 8.4, 'street_contribution': 2.0, 'degree_contribution': 10.0}"
43.641822,-79.397644,Wellington Place,3,9,0.339,0.18,0.1,0.375,26.65,Low,#00ff00,"{'crime_contribution': 13.55, 'poi_contribution': 3.6, 'street_contribution': 2.0, 'degree_contribution': 7.5}"
43.64306,-79.39809,Wellington Place,2,16,0.339,0.32,0.1,0.25,26.95,Low,#00ff00,"{'crime_contribution': 13.55, 'poi_contribution': 6.4, 'street_contribution': 2.0, 'degree_contribution': 5.0}"
43.643911,-79.3946,Wellington Place,3,38,0.339,0.76,0.1,0.375,38.25,Medium,#ffff00,"{'crime_contribution': 13.55, 'poi_contribution': 15.2, 'street_contribution': 2.0, 'degree_contribution': 7.5}"
