source,target,weight,length_m,street_name,highway_type,start_node_weight,end_node_weight,category
133,134,44.665698020459,397.9874184807198,Grosvenor Street,unclassified,27.9,36.0,Low
135,136,36.66380860986324,54.16355980055318,Grenville Street,unclassified,36.2,33.36,Low
136,137,61.478121083934255,84.65280670314499,Dr Emily Stowe Way,unclassified,33.36,80.0,Medium
138,135,32.315852175820936,110.51038404882938,Surrey Place,unclassified,22.0,36.2,Low
35,139,101.57549195448256,295.60576472554277,Gerrard Street West,tertiary,79.8,77.0,High
140,141,56.39491299567625,142.17545307698748,Spadina Avenue,secondary,50.09,48.66,Medium
142,143,68.45540053687502,305.2798271880069,St George Street,tertiary,53.03,51.86,Medium
144,145,78.76460449300309,343.8765482512045,Huron Street,residential,60.86,56.36,Medium
141,146,59.31965555673955,221.57445545180295,Willcocks Street,residential,48.66,48.46,Medium
147,148,27.924174329535788,69.48197355556455,Harbord Street,tertiary,26.06,26.16,Low
151,152,43.44534264972949,99.60371171170547,Hart House Circle,living_street,39.56,39.46,Low
153,151,45.400601302156886,109.76781476795138,Hart House Circle,service,42.26,39.56,Low
154,155,46.34449082212853,71.30122103856968,Galbraith Road,service,43.86,42.66,Low
157,28,30.09695827289596,80.09898700505853,Unnamed,secondary_link,28.5,27.23,Low
158,159,59.49740716923015,78.33995775677683,Spadina Avenue,secondary,49.69,60.66,Medium
157,160,39.49164392126,249.14261968242926,Wellesley Street West,tertiary,28.5,34.73,Low
161,162,46.2374087469908,110.67520410739398,Ted Rogers Way,secondary,42.73,40.53,Low
163,164,32.505832147011134,139.3561916232434,Earl Place,residential,30.83,26.23,Low
3001,165,42.76931011261042,131.91240208046642,Cawthra Square,residential,30.64,44.93,Low
166,167,48.67693207857777,37.99833838528164,Christie Street,tertiary,46.56,47.23,Low
168,169,50.60425984377152,28.228382480372105,Christie Street,tertiary,46.73,51.7,Medium
170,171,46.438621109157765,44.50339876648134,Grace Street,residential,47.96,40.96,Low
172,173,26.515232680866326,279.07538257917633,Shaw Street,residential,19.28,22.18,Low
174,175,35.79527862977683,190.39835815686172,Douro Street,residential,28.52,31.62,Low
176,177,28.102524140108372,68.33393423715536,Wellington Street West,tertiary,25.32,27.29,Low
179,180,45.089091246769605,428.22588681563525,Claremont Street,residential,36.97,26.17,Low
181,182,38.34926642848789,141.34721513356826,Follis Avenue,residential,33.8,33.4,Low
182,183,38.74418532454772,181.22516233377212,Clinton Street,residential,33.4,32.2,Low
